country,Beer,Spirit,Wine,Total,Age
Australia,261,72,212,10.4,18
Luxembourg,236,133,271,11.4,16
Ireland,313,118,165,11.4,18
Switzerland,185,100,280,10.2,16
Norway,169,71,129,6.7,18
USA,249,158,84,8.7,21
Denmark,224,81,278,10.4,18
Netherlands,251,88,190,9.4,18
Iceland,233,61,78,6.6,20
Austria,279,75,191,9.7,16
Germany,346,117,175,11.3,16
Sweden,152,60,186,7.2,18
New Zealand,203,79,175,9.3,18
Belgium,295,84,212,10.5,16
Canada,240,122,100,8.2,18
France,127,151,370,11.8,18
United Kingdom,219,126,195,10.4,18
South Korea,140,16,9,9.8,19
Japan,77,202,16,7.0,20
Italy,85,42,237,6.5,18
Israel,63,69,9,2.5,18
Spain,284,157,112,10.0,16
Portugal,194,67,339,11.0,16
Turkey,51,22,7,1.4,18
Greece,133,112,218,8.3,18